sentiment,topic_id,document_count,language_count,shannon_diversity,languages,dominant_language,dominance_percentage,geographic_spread,category_spread
positivo,25,11595,28,1.007,"{'es': 6238, 'en': 4582, 'fr': 260, 'it': 225, 'de': 115, 'pt': 47, 'nl': 43, 'pl': 19, 'ro': 10, 'el': 8, 'hu': 5, 'no': 4, 'fi': 4, 'da': 4, 'cs': 4, 'ja': 4, 'tr': 3, 'ca': 3, 'hr': 3, 'ar': 2, 'ko': 2, 'ru': 2, 'sv': 2, 'lt': 2, 'lv': 1, 'bg': 1, 'uk': 1, 'sl': 1}",es,53.8,8,12
positivo,23,3264,20,1.001,"{'es': 1606, 'en': 1448, 'fr': 74, 'it': 47, 'de': 46, 'pl': 16, 'nl': 10, 'pt': 2, 'cs': 2, 'da': 2, 'fi': 2, 'hr': 1, 'et': 1, 'sl': 1, 'ro': 1, 'bg': 1, 'lt': 1, 'ca': 1, 'af': 1, 'ru': 1}",es,49.2,8,11
negativo,69,681,16,0.999,"{'es': 419, 'en': 216, 'nl': 14, 'de': 5, 'fr': 5, 'it': 4, 'hr': 3, 'pl': 3, 'pt': 3, 'cs': 2, 'sv': 2, 'tr': 1, 'lt': 1, 'hu': 1, 'no': 1, 'da': 1}",es,61.53,8,12
positivo,7,10000,28,0.994,"{'es': 5150, 'en': 4222, 'fr': 268, 'it': 112, 'de': 91, 'pt': 67, 'nl': 22, 'pl': 21, 'ru': 6, 'hu': 5, 'fi': 5, 'ca': 5, 'he': 3, 'ar': 3, 'ja': 2, 'no': 2, 'lv': 2, 'ko': 2, 'bg': 2, 'el': 2, 'da': 1, 'et': 1, 'cs': 1, 'lt': 1, 'ro': 1, 'sk': 1, 'sv': 1, 'zh-cn': 1}",es,51.5,8,12
positivo,18,3409,16,0.987,"{'es': 1877, 'en': 1307, 'fr': 92, 'it': 53, 'de': 34, 'pt': 21, 'nl': 6, 'pl': 4, 'ca': 3, 'da': 3, 'ar': 2, 'sk': 2, 'cs': 2, 'hu': 1, 'no': 1, 'ru': 1}",es,55.06,8,11
negativo,138,490,9,0.986,"{'es': 314, 'en': 136, 'ca': 12, 'fr': 8, 'pt': 7, 'it': 6, 'de': 5, 'nl': 1, 'cs': 1}",es,64.08,8,11
positivo,3,5499,19,0.985,"{'es': 2954, 'en': 2210, 'it': 98, 'fr': 93, 'de': 66, 'nl': 21, 'pt': 19, 'pl': 7, 'ja': 5, 'sv': 5, 'ru': 4, 'da': 4, 'cs': 4, 'zh-cn': 2, 'tr': 2, 'no': 2, 'lt': 1, 'ro': 1, 'ko': 1}",es,53.72,8,12
negativo,157,386,12,0.984,"{'es': 241, 'en': 119, 'fr': 5, 'nl': 5, 'de': 3, 'it': 3, 'pt': 3, 'fi': 2, 'sv': 2, 'tr': 1, 'af': 1, 'cs': 1}",es,62.44,8,11
positivo,15,3813,16,0.981,"{'es': 2047, 'en': 1532, 'fr': 78, 'it': 64, 'de': 43, 'pt': 16, 'ro': 7, 'ca': 6, 'nl': 6, 'ru': 3, 'pl': 3, 'bg': 2, 'fi': 2, 'sv': 2, 'sk': 1, 'tr': 1}",es,53.68,8,12
positivo,1,13596,26,0.98,"{'es': 7324, 'en': 5461, 'fr': 316, 'it': 170, 'de': 146, 'pt': 40, 'nl': 36, 'pl': 25, 'hu': 13, 'ar': 8, 'ro': 7, 'fi': 7, 'cs': 7, 'da': 5, 'ru': 5, 'af': 4, 'ca': 4, 'sv': 3, 'el': 3, 'hr': 3, 'no': 2, 'lt': 2, 'et': 2, 'sl': 1, 'sk': 1, 'tr': 1}",es,53.87,8,12
