season,weather,total_documents,sentiment_breakdown,dominant_sentiment,unique_topics,unique_languages,unique_cities
Primavera,"Día soleado, muy caluroso, sin lluvia",155,"{'neutro': 103, 'negativo': 37, 'positivo': 15}",neutro,88,8,1
Primavera,"Día soleado, sin lluvia",147,"{'positivo': 75, 'neutro': 58, 'negativo': 14}",positivo,55,3,3
Primavera,Día con lloviznas,46,"{'neutro': 43, 'negativo': 2, 'positivo': 1}",neutro,30,3,1
Primavera,"Día cielo nublado, sin lluvia",1,{'negativo': 1},negativo,1,1,1
Invierno,"Día cielo nublado, fresco y agradable, sin lluvia",12191,"{'neutro': 5459, 'positivo': 4828, 'negativo': 1904}",neutro,207,30,7
Invierno,"Día con lloviznas, fresco y agradable",11399,"{'neutro': 5659, 'positivo': 4635, 'negativo': 1105}",neutro,199,27,7
Invierno,"Día cielo con intervalos, fresco y agradable, sin lluvia",38868,"{'neutro': 22643, 'positivo': 11773, 'negativo': 4452}",neutro,208,35,7
Invierno,"Día soleado, frío, sin lluvia",6656,"{'neutro': 3502, 'positivo': 2141, 'negativo': 1013}",neutro,191,21,5
Invierno,"Día cielo con intervalos, frío, sin lluvia",13295,"{'positivo': 5582, 'neutro': 5259, 'negativo': 2454}",positivo,202,29,5
Invierno,"Día soleado, fresco y agradable, sin lluvia",21167,"{'neutro': 14370, 'positivo': 5136, 'negativo': 1661}",neutro,201,30,7
Invierno,"Día con lluvia moderada, fresco y agradable",9260,"{'neutro': 5825, 'positivo': 2539, 'negativo': 896}",neutro,198,30,7
Invierno,"Día con lloviznas, frío",2226,"{'neutro': 1296, 'negativo': 473, 'positivo': 457}",neutro,180,19,4
Invierno,"Día con lluvia moderada, frío",3075,"{'neutro': 1538, 'positivo': 930, 'negativo': 607}",neutro,184,20,5
Invierno,"Día, sin lluvia",452,"{'neutro': 343, 'positivo': 62, 'negativo': 47}",neutro,123,11,4
Invierno,"Día con lluvia intensa, fresco y agradable",2512,"{'neutro': 1638, 'positivo': 625, 'negativo': 249}",neutro,168,19,7
Invierno,"Día cielo nublado, frío, sin lluvia",3585,"{'neutro': 1663, 'positivo': 1210, 'negativo': 712}",neutro,188,21,3
