Year,Category,Region,Value,Country
2015,Arrivals,Middle East,218.400,Spain
2015,Arrivals,Total,68.174.700,Spain
2016,Arrivals,Africa,1.243.000,Spain
2016,Arrivals,Americas,4.573.900,Spain
2016,Arrivals,East Asia and the Pacific,1.904.700,Spain
2016,Arrivals,Europe,67.047.399,Spain
2016,Arrivals,Middle East,386.700,Spain
2016,Arrivals,Total,75.315.000,Spain
2017,Arrivals,Africa,1.314.300,Spain
2017,Arrivals,Americas,5.866.000,Spain
2017,Arrivals,East Asia and the Pacific,2.299.000,Spain
2017,Arrivals,Europe,71.695.900,Spain
2017,Arrivals,Middle East,466.400,Spain
2017,Arrivals,Total,81.868.599,Spain
2018,Arrivals,Africa,1.235.900,Spain
2018,Arrivals,Americas,6.370.500,Spain
2018,Arrivals,East Asia and the Pacific,2.560.700,Spain
2018,Arrivals,Europe,71.903.900,Spain
2018,Arrivals,Middle East,416.300,Spain
2018,Arrivals,Total,82.808.300,Spain
2019,Arrivals,Africa,1.340.000,Spain
2019,Arrivals,Americas,7.092.100,Spain
2019,Arrivals,East Asia and the Pacific,2.977.000,Spain
2019,Arrivals,Europe,71.377.800,Spain
2019,Arrivals,Middle East,424.700,Spain
2019,Arrivals,Total,83.509.100,Spain
2020,Arrivals,Africa,262.900,Spain
2020,Arrivals,Americas,1.320.500,Spain
2020,Arrivals,East Asia and the Pacific,562.400,Spain
2020,Arrivals,Europe,16.676.300,Spain
2020,Arrivals,Middle East,76.300,Spain
2020,Arrivals,Total,18.933.100,Spain
2021,Arrivals,Africa,250.300,Spain
2021,Arrivals,Americas,1.867.300,Spain
2021,Arrivals,East Asia and the Pacific,230.300,Spain
2021,Arrivals,Europe,28.505.900,Spain
2021,Arrivals,Middle East,281.200,Spain
2021,Arrivals,Total,31.180.900,Spain
2022,Arrivals,Africa,830.200,Spain
2022,Arrivals,Americas,6.359.400,Spain
2022,Arrivals,East Asia and the Pacific,1.086.700,Spain
2022,Arrivals,Europe,62.765.300,Spain
2022,Arrivals,Middle East,416.800,Spain
2022,Arrivals,Total,71.659.300,Spain
