id,ciudad,titulo,rating,precio
civ_38,Barcelona,"Descubrid uno de los monumentos más importantes de Barcelona en esta visita guiada por la Casa Batlló. Además, podréis completarlo visitando La Pedrera.",4.2,56.0
civ_39,Barcelona,"Contágiate de rock y vive una experiencia gastronómica única en el Hard Rock Cafe, un restaurante que ofrece comida internacional y buena música.",4.7,26.25
civ_40,Barcelona,La catedral del mar popularizó uno de los grandes templos de Barcelona. Descubriremos sus secretos en esta visita guiada por la basílica de Santa María del Mar.,4.5,19.0
civ_41,Barcelona,"Practica paddle surf en Barcelona y descubre sus maravillosas vistas de día, al atardecer o de noche. ¡Una experiencia única en la Ciudad Condal!",4.2,30.0
civ_42,Barcelona,"Asistiendo a un espectáculo flamenco en el Tablao El Duende, seréis testigos de este arte declarado Patrimonio de la Humanidad en plena Rambla de Barcelona.",5.0,25.0
civ_43,Barcelona,En este free tour por la Barceloneta y la Ciudadela visitaremos el parque más grande de la capital catalana y la playa más famosa de Barcelona. ¡Imprescindible!,4.8,0.0
civ_44,Barcelona,"Con esta entrada al Recinto Modernista de Sant Pau podréis descubrir el conjunto modernista más grande del mundo, obra del arquitecto Lluís Domènech i Montaner.",4.3,18.0
civ_45,Barcelona,"Vivid una experiencia única con un espectáculo audiovisual en la Casa Milà, La Pedrera. Descubriréis los secretos de esta gran obra modernista.",4.2,35.0
civ_46,Barcelona,"Enamoraos de Barcelona realizando un paseo en Las Golondrinas, los barcos del puerto de la ciudad. Veréis los principales atractivos de la capital catalana.",4.3,8.0
civ_47,Barcelona,"En esta excursión conoceremos Cadaqués, Figueras y Portlligat, lugares que marcaron la vida de Salvador Dalí. Además, visitaremos dos museos del célebre pintor.",4.5,159.0
civ_48,Barcelona,En este free tour por el exterior de la Sagrada Familia os acompañaremos a descubrir los grandes secretos y la arquitectura de la obra maestra de Gaudí.,4.8,0.0
civ_49,Barcelona,¿Os gustaría visitar las maravillas de Gaudí desde otro punto de vista? En el tour en tuk tuk por Barcelona recorreremos la ciudad de forma cómoda y divertida.,4.7,53.4
civ_50,Barcelona,Sentid el placer por la literatura con este paseo guiado por Barcelona en el que os emocionaréis con la novela de Carlos Ruiz Zafón “La Sombra del Viento”.,4.5,14.0
civ_51,Barcelona,"En este paseo en velero por Barcelona recorreremos la costa y tendremos las mejores vistas de la Ciudad Condal. Además, podréis bañaros en el Mediterráneo.",4.5,55.0
civ_52,Barcelona,¿Queréis pasar un día de playa fuera de Barcelona? En esta excursión a Tossa de Mar os llevaremos hasta uno de los destinos más populares de la Costa Brava.,4.4,39.0
civ_53,Barcelona,"Recorred junto a un guía experto en fútbol el Spotify Camp Nou, estadio de uno de los mejores equipos de los últimos años: el FC Barcelona.",4.2,51.0
civ_54,Barcelona,"En esta excursión desde Barcelona descubriremos la ciudad de Gerona. Además, visitaremos Pals y Calella, dos de los pueblos más bonitos de la Costa Brava.",4.5,98.5
civ_55,Barcelona,"Animaos a conocer el famoso barrio de El Raval en este free tour por Barcelona. Historias sorprendentes, arte urbano y edificios medievales os están esperando.",4.8,0.0
civ_56,Barcelona,En esta excursión a PortAventura disfrutaréis de las atracciones y espectáculos en el mayor parque temático de España. ¡Una jornada de diversión en familia!,4.5,79.0
civ_57,Barcelona,El tablao Los Tarantos de Barcelona es el mejor lugar de la Ciudad Condal para disfrutar de un espectáculo flamenco. ¡Puro arte español en pleno Barrio Gótico!,4.5,25.0
civ_58,Barcelona,"En esta excursión desde Barcelona disfrutaremos de los pueblos del interior de la Costa Brava. Visitaremos Vic, Besalú, Santa Pau y Castellfollit de la Roca.",4.3,98.5
civ_59,Barcelona,"Si buscáis relajaros mientras surcáis la costa de Barcelona, este paseo en goleta con música es el plan perfecto. ¡Será una experiencia realmente inolvidable!",3.8,20.5
civ_60,Barcelona,"Con esta entrada sin colas a L'Aquarium de Barcelona, el más importante del mundo en temática mediterránea, descubriréis numerosas especies marinas.",4.3,29.0
civ_61,Barcelona,"Si aún no conocéis Montserrat, esta excursión desde Barcelona es la ocasión ideal. Vino, tapas y cava son algunos de los ingredientes que os esperan.",4.7,123.5
civ_62,Barcelona,"En esta excursión a Montserrat no solo disfrutaremos de un tour por la abadía, sino que también degustaremos los vinos y tapas más famosos de Cataluña.",4.8,89.95
civ_63,Barcelona,En este free tour de la Guerra Civil española descubriremos cómo fue la vida en Barcelona entre los años 1936 y 1939. Un viaje al triste pasado reciente.,4.9,0.0
civ_64,Barcelona,Conoced todo sobre los vinos catalanes en esta cata de vinos y quesos en Barcelona. Descubriremos los secretos de pequeñas bodegas familiares y ecológicas.,4.5,22.0
civ_65,Barcelona,Descubriréis Barcelona de la manera más completa. Con este tour recorreréis la ciudad y disfrutaréis de vistas increíbles desde un helicóptero y desde el mar.,4.5,164.99
civ_66,Barcelona,"Contagiaos de los ritmos flamencos en el Tablao Cordobés de Barcelona, una experiencia única que podréis completar con una cena gastronómica.",4.5,48.0
civ_67,Barcelona,En este free tour por El Born caminaremos por las calles de este animado barrio de Barcelona mientras descubrimos su historia y sus múltiples encantos.,4.8,0.0
civ_68,Barcelona,En este tour nos adentraremos en el barrio de moda de Barcelona para disfrutar de un espectáculo de flamenco y degustar una variada selección de tapas.,4.2,99.99
civ_69,Barcelona,"Con vuestra entrada al Museo Moco de Barcelona descubriréis cómo las obras de Bansky, Andy Warhol, Keith Haring o Yayoi Kusama se funden en el Palacio Cervelló.",4.6,16.95
civ_70,Barcelona,En esta cata de jamón ibérico en Barcelona podréis deleitaros con los exquisitos sabores de la capital catalana. ¡La experiencia perfecta para los más foodies!,4.5,29.0
civ_71,Barcelona,"Descubrid uno de los templos más importantes de la Ciudad Condal en esta visita guiada por la Catedral de Barcelona. Además, podréis subir a sus terrazas.",4.6,32.0
civ_72,Barcelona,¿Sabíais que la Ciudad Condal tuvo una de las mayores comunidades judías de la España medieval? Acompañadnos a recorrer el barrio judío de Barcelona.,4.8,14.0
civ_73,Barcelona,La capital catalana esconde numerosas huellas de grandes logias secretas. Descubriremos sus enigmas en este tour por la Barcelona masónica.,4.6,14.0
civ_74,Barcelona,"La basílica de Santa María del Mar, popularizada por La catedral del mar, es uno de los núcleos de la Barcelona medieval. Adentraos en sus calles con esta ruta.",4.8,14.0
civ_75,Barcelona,La Sagrada Familia es una de las joyas modernistas de Barcelona. Descubriremos la basílica diseñada por el arquitecto Antonio Gaudí con este tour privado.,4.0,322.0
civ_76,Barcelona,Con vuestra entrada al Palau de la Música Catalana podréis visitar por libre o con una audioguía en español una de las grandes joyas modernistas de Barcelona.,4.8,18.0
civ_77,Barcelona,Con esta entrada al mirador de la Torre Glòries disfrutaréis de las mejores vistas de Barcelona con una panorámica de 360º a 125 metros de altura.,4.3,18.0
civ_78,Barcelona,¿Cómo se vivió la Santa Inquisición en Barcelona? En este free tour por el Barrio Gótico descubriremos los capítulos más desgarradores de esta etapa histórica.,4.6,0.0
civ_79,Barcelona,En esta visita guiada por la Casa Vicens nos adentraremos en los orígenes de la arquitectura gaudiniana recorriendo la primera obra del célebre arquitecto.,4.3,24.0
