id,ciudad,titulo,rating,precio
book_a0078,Barcelona,Espectáculo de flamenco en el Palacio Dalmases de Barcelona,4.5,30.0
book_a0079,Barcelona,Entrada al zoológico de Barcelona,4.2,21.0
book_a0080,Barcelona,Catedral de Barcelona con audioguía,4.4,19.0
book_a0081,Barcelona,Entrada al teleférico de Montjuic,4.5,17.0
book_a0082,Barcelona,Tour de un día entero por la Costa Brava,4.9,57.0
book_a0083,Barcelona,Tour en kayak y snorkel por la Costa Brava + picnic desde Barcelona,4.5,45.0
book_a0084,Barcelona,Crucero con jazz y chill out en Barcelona,4.8,22.0
book_a0085,Barcelona,Visita guiada a la Sagrada Familia de Barcelona con extras opcionales.,4.8,65.0
book_a0086,Barcelona,Visita guiada al Park Güell de Gaudí con acceso sin colas,3.8,25.0
book_a0087,Barcelona,Entrada al Museo Moco,4.6,16.0
book_a0088,Barcelona,"Girona, Costa Brava y Pueblo Medieval desde Barcelona",4.39,59.0
book_a0089,Barcelona,IKONO Barcelona: Experiencia Inmersiva,4.3,18.0
book_a0090,Barcelona,Visita privada nocturna a la Sagrada Familia con guía experto,4.6,70.0
book_a0091,Barcelona,Recorrido turístico por la ciudad de Barcelona en autobús con paradas libres,3.9,33.0
book_a0092,Barcelona,Barcelona: Tour de Park Guell con entradas – Evite colas hoy,4.2,28.0
book_a0093,Barcelona,Espectáculo de flamenco en el Teatro Poliorama o Palau de la Música Catalana,4.4,35.15
book_a0094,Barcelona,Visitas autoguiadas en Barcelona: más de 150 cautivadoras historias en audio,4.2,3.0
book_a0095,Barcelona,Tour oficial en helicóptero por Barcelona + vídeo en vuelo,4.7,114.0
book_a0096,Barcelona,Tour en bicicleta por Barcelona,4.9,32.0
book_a0097,Barcelona,Visita guiada al Museo Picasso con entrada sin colas,4.3,37.0
book_a0098,Barcelona,Entrada al parque de atracciones Tibidabo,3.7,39.0
book_a0099,Barcelona,Concierto de guitarra española en el Palau de la Música Catalana en Barcelona,5.0,52.0
book_a0100,Barcelona,Caribe Aquatic Park,4.2,35.0
book_a0101,Barcelona,"Lo mejor de Barcelona: Sagrada Familia, Parque Güell, Montjuic y Gótico",4.8,99.0
book_a0102,Barcelona,Billete para el teleférico de Montjuic,4.4,18.0
book_a0103,Barcelona,Tour guiado por la Sagrada Familia,4.5,55.0
book_a0104,Barcelona,Tour autoguiado con audioguía por el Parc Güell,4.0,4.0
book_a0105,Barcelona,Acceso prioritario: Visita a la Sagrada Familia de Barcelona con entrada a la torre,4.0,72.0
book_a0106,Barcelona,Excursión a la Sagrada Familia con Entrada Rápida y Guía Local,4.7,89.0
book_a0107,Barcelona,Entrada a la Catedral de Barcelona con acceso a la azotea,4.0,26.0
book_a0108,Barcelona,Entrada a PortAventura con traslado,4.1,79.0
book_a0109,Barcelona,Bienvenido a Barcelona Segway y eScooter Tour,5.0,3.0
book_a0110,Barcelona,Tour de compras exprés por La Roca Village,4.6,22.0
book_a0111,Barcelona,Entrada al Museo Picasso y tour guiado,4.2,37.0
book_a0112,Barcelona,Tour de tapas y vinos,4.7,55.0
book_a0113,Barcelona,"Crucero en barco, vino y tapas incluidos",5.0,45.0
book_a0114,Barcelona,Tour privado a pie con audioguía en Barcelona,5.0,3.0
book_a0115,Barcelona,Palau Güell de Gaudí con audioguía en Barcelona,4.7,12.0
